cond1,cond2,ManipCheck,fair,support,inference1,inference2,leakiness,fps1,fps2,fps3,fps4,fps5,fps6,fps7,fps8,fps9,fps10,fps11,fps12,fps13,fps14,cc1,cc2,age,gender,political,lbs,HeightFeet,HeightInches,Height,total_t,z_beg,z_end
2,3,-2,,-1,1,0,-2,3,3,5,4,4,5,5,3,3,6,4,5,3,3,3,1,29,2,3,185,5,7,67,3.35,4/28/2010 at 10:49 PM,4/28/2010 at 10:53 PM
1,1,-3,,-2,3,3,-3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2,31,2,1,170,5,6,66,2.2833333,4/28/2010 at 10:52 PM,4/28/2010 at 10:55 PM
1,1,1,,3,0,0,0,2,2,5,5,5,5,5,3,3,6,3,6,3,3,3,2,31,1,,165,5,10,70,2.6666667,4/28/2010 at 10:55 PM,4/28/2010 at 10:58 PM
2,4,-1,0,-1,0,0,0,3,2,5,5,5,5,5,2,2,6,2,6,3,3,3,1,27,2,4,160,5,10,70,2.9666667,4/28/2010 at 10:58 PM,4/28/2010 at 11:01 PM
1,1,-3,-2,-1,1,2,-3,4,3,3,5,4,3,3,5,2,6,4,5,3,3,3,2,25,2,3,190,5,5,65,4.2166667,4/28/2010 at 10:58 PM,4/28/2010 at 11:02 PM
2,4,-3,-3,-3,3,3,-2,5,5,2,1,1,1,1,5,4,4,5,4,5,5,3,1,29,2,1,230,5,9,69,4.5333333,4/28/2010 at 11:36 PM,4/28/2010 at 11:41 PM
1,1,3,-1,2,-2,1,2,2,2,5,5,4,4,6,2,2,4,3,4,2,2,3,2,26,2,5,,,,,4.4166665,4/29/2010 at 0:27 AM,4/29/2010 at 0:32 AM
1,1,2,3,3,-2,0,-2,2,2,5,5,4,5,5,2,2,3,3,5,1,1,3,2,42,2,4,125,5,3,63,3.5,4/29/2010 at 1:08 AM,4/29/2010 at 1:11 AM
2,3,0,2,0,2,3,0,3,3,5,5,5,5,5,3,3,5,1,6,2,2,3,1,36,2,5,138,5,5,65,4.1833334,4/29/2010 at 2:28 AM,4/29/2010 at 2:33 AM
2,3,-2,1,0,2,2,0,2,2,5,5,5,5,5,2,2,5,2,5,2,2,3,1,49,2,6,153,5,10,70,3.9166667,4/29/2010 at 2:41 AM,4/29/2010 at 2:45 AM
2,3,-2,-1,-1,3,-1,-2,3,3,5,5,5,4,5,2,2,5,2,5,3,3,3,1,37,1,2,165,5,6,66,5.6,4/29/2010 at 2:46 AM,4/29/2010 at 2:51 AM
2,4,0,0,0,0,0,0,2,2,5,5,5,5,5,2,2,5,2,5,2,2,1,2,25,1,4,185,5,10,70,3.2,4/29/2010 at 5:38 AM,4/29/2010 at 5:41 AM
2,2,0,3,3,-3,3,0,4,4,2,5,2,2,2,5,5,2,2,5,4,2,3,1,30,1,7,135,5,7,67,3.7166667,4/29/2010 at 6:34 AM,4/29/2010 at 6:38 AM
2,4,0,3,3,0,2,0,1,1,2,1,6,6,6,1,1,5,1,6,1,1,3,1,35,1,5,225,6,7,79,3.3,4/29/2010 at 6:47 AM,4/29/2010 at 6:50 AM
