cond1,cond2,leakiness,inference1,inference2,ManipCheck,stigma1,stigma2,stigma3,dis1,dis2,dis3,dis4,dis5,dis6,dis7,dis8,DisShape,DisWeight,cc1,cc2,gender,age,employment,HeightFeet,HeightInches,height,lbs,total_t,z_beg,z_end
2,4,-1,1,1,-2,1,1,2,1,6,1,2,5,1,2,1,7,7,3,1,1,26,Yes: part-time,6,0,72,150,3.0166667,8/17/2012 at 1:31 PM,8/17/2012 at 1:34 PM
2,2,0,-3,1,-2,2,5,6,2,5,1,3,1,4,1,2,1,1,3,1,2,30,No,5,7,67,230,3.3666666,8/17/2012 at 1:33 PM,8/17/2012 at 1:36 PM
1,1,2,0,3,3,1,1,7,1,5,1,1,5,5,1,5,3,5,3,2,1,20,No,6,1,73,188,2.1833334,8/17/2012 at 1:37 PM,8/17/2012 at 1:39 PM
2,2,-3,3,3,-3,7,7,7,7,1,7,7,1,1,7,1,2,2,3,1,2,28,Yes: full-time,5,0,60,137,3.9333334,8/17/2012 at 1:35 PM,8/17/2012 at 1:39 PM
1,1,-3,-3,-3,0,7,4,7,4,3,7,7,1,1,7,1,5,7,3,2,1,24,No,5,6,66,147,3.3,8/17/2012 at 1:36 PM,8/17/2012 at 1:39 PM
2,4,0,1,1,-3,5,6,7,5,3,6,6,2,2,6,2,1,1,3,1,2,20,Yes: part-time,5,7,67,135,2.8,8/17/2012 at 1:37 PM,8/17/2012 at 1:40 PM
1,1,0,-2,3,2,1,1,1,1,6,1,1,6,4,1,2,4,4,3,2,1,31,Yes: full-time,5,1,61,165,1.8833333,8/17/2012 at 1:38 PM,8/17/2012 at 1:40 PM
2,3,-1,1,-3,-2,3,5,4,1,6,2,6,2,6,2,6,7,7,3,1,1,21,Yes: part-time,6,0,72,185,2.75,8/17/2012 at 1:38 PM,8/17/2012 at 1:41 PM
1,1,-2,2,2,2,4,4,4,3,4,2,3,5,3,4,4,4,4,3,2,2,19,Yes: part-time,5,3,63,120,2.2333333,8/17/2012 at 1:38 PM,8/17/2012 at 1:41 PM
2,3,-1,1,-1,-1,3,2,4,4,6,5,5,3,2,5,3,6,6,3,2,1,18,No,5,9,69,140,3.75,8/17/2012 at 1:37 PM,8/17/2012 at 1:41 PM
